"Choose my gift(s)","Choose my gift(s)"
"Edit my choices","Edit my choices"
"Your session has expired","Your session has expired"
"We can't add this gift item to your shopping cart.","We can't add this gift item to your shopping cart."
"You added gift product to your shopping cart.","You added gift product to your shopping cart."
"<img src=""%1"" class=""freegift-icon"" alt=""Free Gift"" width=""20px""/>","<img src=""%1"" class=""freegift-icon"" alt=""Free Gift"" width=""20px""/>"
"The gift rule is not valid.","The gift rule is not valid."
"We found an invalid request for adding gift product.","We found an invalid request for adding gift product."
"Select free product:","Select free product:"
"to offer product","to offer product"
"to offer product per price range","to offer product per price range"
"Get free gift!","Get free gift!"
Qty,Qty
"Choose an Option...","Choose an Option..."
"%1: choose your %2 gifts","%1: choose your %2 gifts"
"Validate my gift(s)","Validate my gift(s)"
"You entered too many gifts. You can only select %1 gifts.","You entered too many gifts. You can only select %1 gifts."
"You need to choose options for your gift.","You need to choose options for your gift."
Landofcoder,Landofcoder
"Lof Gift Sales Rule","Lof Gift Sales Rule"
Configuration,Configuration
"Automatically add gift product","Automatically add gift product"
"Added if there are only 1 gift product parameterized","Added if there are only 1 gift product parameterized"
"Show Notice For Gift","Show Notice For Gift"
"Notice Content","Notice Content"
"Gift Icon","Gift Icon"
"Recommended dimension: 20x20px <br/>
                    Recommended image file type: <strong>.png,.jpg,.gif</strong>","Recommended dimension: 20x20px <br/>
                    Recommended image file type: <strong>.png,.jpg,.gif</strong>"
"Button Design","Button Design"
"Button Label","Button Label"
"Button Text","Button Text"
"Maximum number of products offered","Maximum number of products offered"
"Price range","Price range"
